,page,text,face,h1,h2,l,r
9012,525,"verte ou rougeâtre, densément couverte de papilles hyalines, ordinairement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",56.09699249267578,70.77099609375,35.7599983215332,389.93865966796875
9013,525, pluri-,"Font: 'Times-Roman' (serifed, proportional), size 10.9299, color #000000",56.09699249267578,70.77099609375,389.93865966796875,420.6621398925781
9014,525,caule.,"Font: 'Times-Roman' (serifed, proportional), size 10.9242, color #000000",67.61701202392578,82.291015625,36.0,62.510677337646484
9015,525," Tiges cylindriques, ascendantes ou étalées, pouvant atteindre 30 cm., charnues,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",67.61701202392578,82.291015625,62.510677337646484,420.3007507324219
9016,525,"rameuses dès la base. Feuilles inférieures opposées, les supérieures alternes, toutes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",79.13697052001953,93.81097412109375,35.7599983215332,420.37896728515625
9017,525,"linéaires, planes en dessus, convexes en dessous, obtuses, sessiles, ciliées aux marges,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",90.65699005126953,105.33099365234375,35.52000045776367,420.062744140625
9018,525,"2| cm. sur 2 mm. Fleurs axillaires ou opposées aux feuilles, solitaires, subsessiles ou","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",102.17700958251953,116.85101318359375,35.7599983215332,420.0126953125
9019,525,"très brièvement pédonculées, s'ouvrant peu, pourvues à la base de deux bractéoles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",113.6969985961914,128.37100219726562,35.7599983215332,420.3809509277344
9020,525,"foliacées. Calice papilleux, turbiné, à 5 divisions inégales, linéaires, obtuses, foliacées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",125.21698760986328,139.8909912109375,35.279998779296875,420.2929992675781
9021,525,Staminodes,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",136.73699951171875,151.4110107421875,35.52000045776367,87.56430053710938
9022,525," linéaires-filiformes,","Font: 'Times-Roman' (serifed, proportional), size 10.9737, color #000000",136.73699951171875,151.4110107421875,87.56430053710938,176.3885955810547
9023,525," blancs, plus courts que les sépales, concrescents à la","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",136.73699951171875,151.4110107421875,176.3885955810547,419.78216552734375
9024,525,"base. 5 stigmates sessiles. Capsule obovée, d'environ 0,7 cm. de long, à 5 loges. Graines","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",148.25698852539062,162.93099975585938,35.52000045776367,420.3825988769531
9025,525,"triangulaires, comprimées, brun-roux, à dos subtronqué, côtelé et verruqueux.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",159.7769775390625,174.45098876953125,35.279998779296875,404.6954650878906
9026,525,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",175.23001098632812,188.57000732421875,53.279998779296875,92.080078125
9027,525, février-juin.,"Font: 'Times-Roman' (serifed, proportional), size 9.9941, color #000000",175.23001098632812,188.57000732421875,92.080078125,140.6337432861328
9028,525, Sables et rochers. Bord de la mer et déserts.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",175.23001098632812,188.57000732421875,140.6337432861328,316.5429382324219
9029,525,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",186.75,200.08999633789062,53.040000915527344,61.58469009399414
9030,525, Ctlitt.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",187.77000427246094,199.97999572753906,61.58469009399414,92.68157196044922
9031,525, Tyr (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",186.75,200.08999633789062,92.68157196044922,135.58322143554688
9032,525,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",198.510009765625,211.85000610351562,53.279998779296875,61.12772750854492
9033,525, St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",199.53001403808594,211.74000549316406,61.12772750854492,79.4377670288086
