,0,1,2,3
166,"THELYGONUM L. — Herbes un peu charnues, à feuilles inférieures oppo-sées, à feuilles supérieures alternes, toutes entières, à stipules larges. Fleurs monoïquesou dioïques en cymules sessiles, opposées aux feuilles supérieures, rudimentaires ounulles aux aisselles des feuilles inférieures. Fleurs géminées ou ternées, les etles naissant sur le même nœud ou sur des nœuds différents. Fleurs à 2-5 sépales,10-30 étamines, à filaments capillaires, à anthères linéaires. Fleurs à calice tubu-laire, très oblique, dilaté au niveau de l'ovaire. Ovaire uniovulé. Akène subglobu-leux, inclus dans le calice persistant. Graine sessile, dressée.",page 522 of document.pdf,,
167,genus,Thelygonum,cynocrambe,page 522 of document.pdf
168,"PHYTOLACCA L. — Herbes, arbustes ou arbres. Feuilles pétiolées, ovales,elliptiques ou lancéolées, entières. Grappes terminales ou opposées^ aux feuilles.Fleurs hermaphrodites ou dioïques. Périanthe à 5 sépales herbacés. Étamines 6-30.Carpelles 5-16, libres ou concrescents à la base, ou jusqu'au sommet. Baies agrégéesou baie pluriloculairè.",page 523 of document.pdf,,
169,genus,Phytolacca,americana,page 523 of document.pdf
170,genus,Phytolacca, pruinosa,page 523 of document.pdf
171,"BOERHAVIA L. — Herbes annuelles, vivaces ou sous-arbrisseaux. Tigesarticulées. Feuilles opposées, subsessiles ou pétiolées, entières ou un peu sinuées.Fleurs actinomorphes, petites. Périanthe contracté au-dessus de l'ovaire, ovoïde àla base. Limbe en entonnoir 4-5-lobé. Étamines 1-6, exsertes. Styles capillaires àstigmate capité.",page 523 of document.pdf,,
172,genus,Boerhavia, plumbaginea,page 523 of document.pdf
173,"MESEMBRYANTHEMUM L. — Herbes ou sous-arbrisseaux dressés oucouchés, à appareil végétatif très variable, à feuilles charnues, de forme variable,opposées ou rarement alternes, non stipulées. Fleurs terminales ou axillaires, soli-taires ou en cymes pauciflores, hermaphrodites, à périanthe simple, mais garni destaminodes pétaloïdes, ceux-ci très nombreux, linéaires, parfois vivement colorés.Calice à divisions inégales, 5, rarement 2, 4, 6, 8. Étamines nombreuses. Ovaire 5-loculaire, parfois 4-loculaire ou à plus de 5 loges. Styles en même nombre que lesloges. Capsule d'abord charnue, puis parcheminée. Graines nombreuses, petites.",page 524 of document.pdf,,
174,genus,Mesembryanthemum, forskalei,page 524 of document.pdf
175,genus,Mesembryanthemum, edule,page 525 of document.pdf
176,"AIZOON L. — Herbes ou sous-arbrisseaux ordinairement papilleux, parfoisvelus. Feuilles alternes ou opposées, sans stipules. Fleurs solitaires ou en cymes axil-laires. Tube du calice court. Sépales 4-5. Étamines nombreuses, insérées à la gorgedu calice. Ovaire libre. Capsule subéreuse.",page 525 of document.pdf,,
177,genus,Aizoon,hispanicum,page 525 of document.pdf
178,genus,Glinus,lotoides,page 526 of document.pdf
179,genus,Glinus,dictamnoides,page 526 of document.pdf
180,"PORTULACA L. — Herbes charnues, ordinairement étalées, à feuilles al-ternes ou subopposées. Stipules scarieuses ou réduites à un groupe de poils. Fleurssolitaires ou en cymes, raccourcies au sommet de la tige. Feuilles involucrales sépa-loïdes 2. Pétales 4-6, disparaissant après l'anthèse. Étamines 4 ou plus, à filamentspoilus à la base. Ovaire multiovulé. Capsule membraneuse.",page 526 of document.pdf,,
181,genus,Portulacca, oleracea,page 527 of document.pdf
182,genus,Montia,fontana,page 527 of document.pdf
183,"PTERANTHUS Forsk. — Herbe annuelle, charnue, à feuilles opposées, fas-ciculifères, ce qui les rend pseudo-verticillées. Cymes biflores portés par un pédon-cule commun accrescent, large, oblong, aplati et tombant avec lui. Fleurs sessiles,latérales. Calice 4-partite à sépales oblongs-linéaires, prolongés par un appendicevertical scarieux-marginé. 4 étamines. Pas de corolle.",page 528 of document.pdf,,
184,genus,Pteranthus, dichotomus,page 528 of document.pdf
185,"SCLERANTHUS L. — Herbes de petite taille, à feuilles linéaires-sétacées.Calice à tube urcéolé, à la fin durci. 5 sépales mutiques. Pétales filiformes, parfoisavortés. Étamines 5. Ovaire libre. Styles 2, distincts.",page 528 of document.pdf,,
186,genus,Scleranthus, orientalis,page 528 of document.pdf
187,genus,Scleranthus, collinus,page 529 of document.pdf
188,genus,Habrosia,spinuliflora,page 529 of document.pdf
189,"CORRIGIOLA L. — Herbes annuelles ou vivaces à feuilles un peu charnueset stipules scarieuses. Calice persistant, à 5 sépales obtus, à marge claire et mince.5 pétales arrondis égalant le calice. 5 étamines insérées sur la marge d'un disque trèspetit. Styles 3, très courts. Fruit crustacé, inclus dans le calice.",page 529 of document.pdf,,
190,genus,Gorrigiola, littoralis,page 529 of document.pdf
191,"TELEPHIUM L. — Herbes un peu charnues, à feuilles alternes, stipulées.Calice à 5 sépales. Corolle à 5 pétales, 5 étamines. 3 styles. Capsule à 3-4 valves.",page 529 of document.pdf,,
192,genus,Telephium," imperati L.,",page 530 of document.pdf
193,"HERNIARIA L. — Herbes cespiteuses, annuelles ou vivaces, parfois sous-frutescentes, à rameaux couchés et feuilles supérieures souvent alternes. Fleurs trèspetites. Calice à 4 ou 5 sépales piano-concaves. Pétales filiformes. Étamines 5,4 ou2. Styles 2, libres.",page 530 of document.pdf,,
194,genus,Herniaria,hirsuta,page 530 of document.pdf
195,genus,Herniaria,cinerea,page 530 of document.pdf
196,genus,Herniaria,glabra,page 531 of document.pdf
197,genus,Herniaria,incana,page 531 of document.pdf
198,genus,Herniaria,arabica,page 531 of document.pdf
199,genus,Herniaria,hemistemon,page 532 of document.pdf
200,"PARONYCHIA Adanson. — Herbes à tiges couchées, à feuilles opposées, àfleurs généralement noyées dans leurs bractées, celles-ci scarieuses et très amples.Calice à 5 sépales piano-concaves ou cucullés au sommet. Pétales filiformes. Étamines5 ou 3, insérées à la gorge du calice.",page 532 of document.pdf,,
201,genus,Paronychia,chionaea,page 532 of document.pdf
202,genus,Paronychia,kurdica,page 533 of document.pdf
203,genus,Paronychia, macrosepala,page 533 of document.pdf
204,genus,Paronychia,argentea,page 533 of document.pdf
205,genus,Paronychia,arabica,page 533 of document.pdf
206,genus,Paronychia,echinata,page 534 of document.pdf
207,genus,Polycarpon,tetraphyllum,page 534 of document.pdf
208,"ROBBAIREA Boiss. — Herbes ressemblant aux Polycarpon, à calice de 5 sé-pales piano-concaves, étroitement scarieux à la marge, à 5 pétales onguiculés.",page 535 of document.pdf,,
209,"SPERGULA L. — Herbes annuelles à feuilles filiformes très fines, fasciculéesen pseudo-verticilles brièvement stipités. Calice à 5 sépales un peu charnus, 5 pétalesentiers, 5-10 étamines. Graines lenticulaires, marginées ou ailées.",page 537 of document.pdf,,
210,genus,Spergula,arvensis,page 537 of document.pdf
211,genus,Spergula,fallax,page 537 of document.pdf
212,genus,Buffonia, paniculata,page 538 of document.pdf
213,genus,Buffonia,ephedrina,page 538 of document.pdf
214,"SAGINA L. — Herbes cespiteuses annuelles ou vivaces, à fleurs blanches, àfeuilles subulées, connées à la base en une gaine. Calice à 4 ou 5 sépales. Pétalesabsents ou 4-5, entiers ou rétus. Étamines 4-10. Ovaire multiovulé. Capsule à 4-5valves. Graines réniformes.",page 539 of document.pdf,,
215,genus,Sagina,libanotica,page 539 of document.pdf
216,genus,Sagina,apetala,page 539 of document.pdf
217,genus,Sagina,maritima,page 539 of document.pdf
218,genus,Minuartia,labillardieri,page 541 of document.pdf
219,genus,Minuartia,juniperina,page 541 of document.pdf
220,genus,Minuartia,libanotica,page 541 of document.pdf
221,genus,Minuartia,parvulorum,page 542 of document.pdf
222,genus,Minuartia,innominata,page 542 of document.pdf
223,genus,Minuartia,decipiens,page 544 of document.pdf
224,genus,Minuartia,montana,page 544 of document.pdf
225,genus,Minuartia,mesogitana,page 544 of document.pdf
226,genus,Minuartia, hybrid»,page 545 of document.pdf
227,genus,Minuartia,subtilis,page 545 of document.pdf
228,genus,Minuartia, mediterranea,page 545 of document.pdf
229,genus,Minuartia, thymifolia,page 546 of document.pdf
230,genus,Minuartia,picta,page 546 of document.pdf
231,genus,Minuartia, formosa,page 547 of document.pdf
232,genus,Minuartia, hamata,page 547 of document.pdf
233,genus,Arenaria,libanotica,page 548 of document.pdf
234,genus,Arenaria,deflexa,page 548 of document.pdf
235,genus,Arenaria,leptoclados,page 549 of document.pdf
236,genus,Arenaria,serpyllifolia,page 549 of document.pdf
237,genus,Arenaria,cassia,page 549 of document.pdf
238,"STELLARIA L. — Plantes souvent diffuses, molles, annuelles ou vivaces, àfleurs blanches. Calice à 5 sépales, rarement 4. Pétales 5 ou 4, ordinairement pro-fondément bfides, parfois avortés.",page 550 of document.pdf,,
239,genus,Stellaria, ciliciea,page 551 of document.pdf
240,genus,Stellaria,media,page 551 of document.pdf
241,"HOLOSTEUM L. — Herbes annuelles basses, à fleurs en ombelle, à pédi-celles inégaux, réfractés à la fructification, puis se redressant après la chute desgraines. Calice à 5 sépales. Pétales 5, entiers ou dentés.",page 552 of document.pdf,,
242,genus,Holosteum, umbellatum,page 552 of document.pdf
243,genus,Holosteum,liniflorum,page 552 of document.pdf
244,genus,Moenchia, octandra,page 553 of document.pdf
245,"CERASTIUM L. — Herbes annuelles ou cespiteuses à feuilles opposées,sessiles. Fleurs en dichases terminaux, feuilles ou nus. Sépales 5, rarement 4. Pétales5 ou 4, bifides, émarginés, rarement entiers ou laciniés, parfois nuls. Étamines 10ou 8, ou moins par avortement. Ovaire uniloculaire, multiovulé. Styles 5, opposésaux sépales, rarement 4 ou 3. Capsule cylindrique ou cylindro-conique, membra-neuse, dépassant ordinairement le calice, déhiscente au sommet par des dentscourtes, en nombre double de celui des styles. Graines réniformes-arrondies, plusou moins comprimées, ordinairement verruqueuses, parfois cristulées.",page 553 of document.pdf,,
246,genus,Cerastium,dubium,page 554 of document.pdf
247,genus,Cerastium,cerastoides,page 555 of document.pdf
248,genus,Cerastium,perfoliatum,page 555 of document.pdf
249,genus,Cerastium,comatum,page 555 of document.pdf
250,genus,Cerastium,dichotomum,page 555 of document.pdf
251,genus,Cerastium, inflatum,page 556 of document.pdf
252,genus,Cerastium,glomeratum,page 556 of document.pdf
253,genus,Cerastium,brachypetalum,page 556 of document.pdf
254,genus,Cerastium, pentandrum,page 557 of document.pdf
255,genus,Gerastium, fragillimum,page 557 of document.pdf
256,genus,Agrostemma,githago,page 558 of document.pdf
257,genus,Melandrium, album,page 559 of document.pdf
258,genus,Melandrium,eriocalycinum,page 559 of document.pdf
259,genus,Silène,coniflora,page 564 of document.pdf
260,genus,Silène,lydia,page 565 of document.pdf
261,genus,Silène, conoidea,page 565 of document.pdf
262,genus,Silène, macrodonta,page 565 of document.pdf
263,genus,Silène,caeli-rosa,page 567 of document.pdf
264,genus,Silène,eretica,page 567 of document.pdf
265,genus,Silène, crassipes,page 567 of document.pdf
266,genus,Silène, papillosa,page 567 of document.pdf
267,genus,Silène,racemosa,page 568 of document.pdf
268,genus,Silène, sibthorpiana,page 568 of document.pdf
269,genus,Silène, gallica,page 568 of document.pdf
270,genus,Silène, cerastoides,page 569 of document.pdf
271,genus,Silène, setacea,page 569 of document.pdf
272,genus,Silène, damascena,page 569 of document.pdf
273,genus,Silène, siderophila,page 569 of document.pdf
274,genus,Silène, colorata,page 571 of document.pdf
275,genus,Silène, oliveriana,page 571 of document.pdf
276,genus,Silène, rubella,page 572 of document.pdf
277,genus,Silène,sedoides,page 572 of document.pdf
278,genus,Silène, fuscata,page 572 of document.pdf
279,genus,Silène, aegyptiaca,page 572 of document.pdf
280,genus,Silène,kotschyi,page 573 of document.pdf
281,genus,Silène, striata,page 573 of document.pdf
282,genus,Silène, cassia,page 573 of document.pdf
283,genus,Silène, linearis,page 574 of document.pdf
284,genus,Silène, juncea,page 574 of document.pdf
285,genus,Silène, modesta,page 575 of document.pdf
286,genus,Silène, intricata,page 575 of document.pdf
287,genus,Silène, capitellata,page 575 of document.pdf
288,genus,Silène,pharaaceifolia,page 575 of document.pdf
289,genus,Silène, stenobotrys,page 576 of document.pdf
290,genus,Silène, pruinosa,page 576 of document.pdf
291,genus,Silène,caryophylloides,page 576 of document.pdf
292,genus,Silène, boryi,page 576 of document.pdf
293,genus,Silène, physalodes,page 578 of document.pdf
294,genus,Silène, italica,page 578 of document.pdf
295,genus,Silène, astartes,page 578 of document.pdf
296,genus,Silène,amana,page 579 of document.pdf
297,genus,Silène, confertiflora,page 579 of document.pdf
298,genus,Silène,marschallii,page 579 of document.pdf
299,genus,Silène, longipetala,page 579 of document.pdf
300,genus,Silène, chlorifolia,page 580 of document.pdf
301,genus,Silène, swertiifolia,page 580 of document.pdf
302,genus,Silène, succulenta,page 582 of document.pdf
303,genus,Silène, schlumbergeri,page 582 of document.pdf
304,"CUCUBALUS L. — Plante vivace, à tiges allongées, grimpantes. Calicecampanule, court, large, 5-lobé, à 10 nervures anastomosées, dont 5 commissurales.Pétales 5, onguiculées, à gorge pourvue d'une couronne. Étamines 10. Styles 3.Fruit constitué par une baie non déhiscente, triloculaire, portée par un carpophore.",page 582 of document.pdf,,
305,genus,Gucubalus, baccifer,page 582 of document.pdf
306,"VACCARIA Medikus. — Herbes annuelles, glabres, à tiges rameuses, dicho-tomiques. Calice multinervié, accrescent durant la fructification, devenant ové etailé aux angles. Pétales onguiculés. Capsule polysperme, biloculaire à la base, 4-dentée au sommet. Graines subglobuleuses.",page 583 of document.pdf,,
307,genus,Vaccaria,pyramidata,page 583 of document.pdf
308,genus,Vaccaria,oxyodonta,page 583 of document.pdf
309,"SAPONARIA L. — Plantes annuelles ou vivaces, à calice cylindrique ouoblong-cylindrique, parcouru par des nervures nombreuses généralement non sail-lantes et peu visibles. Pétales 5, à onglet étroit bilamellé dans sa longueur. Lamesouvent bien distincte de l'onglet, nue à la base ou pourvue de courts appendices.",page 584 of document.pdf,,
310,genus,Saponaria,bargyliana,page 585 of document.pdf
311,genus,Saponaria,pulvinaris,page 585 of document.pdf
312,genus,Saponaria,tridentata,page 585 of document.pdf
313,"GYPSOPHILA L. — Plantes annuelles ou vivaces, ou sous-arbrisseaux,ordinairement dichotomiquement rameux dans leur partie supérieure. Feuilleslinéaires ou lancéolées, plus rarement ovales, souvent un peu charnues. Inflorescencestantôt très lâches, tantôt condensées ou même capitées. Fleurs petites, blanches ouroses, pentamères. Calice campanule, ou subcylindrique, parfois très profondémentdivisé. Pétales étalés, à lame émarginée ou plus ou moins bifide. Pas de couronne.Onglets parfois ailés. Styles 2, rarement 3. Capsule uniloculaire, s'ouvrant par 4ou 6 dents. Graines comprimées, réniformes. Embryon arqué.",page 586 of document.pdf,,
314,genus,Gypsophila, venusta,page 587 of document.pdf
315,genus,Gypsophila, anatolica,page 588 of document.pdf
316,genus,Gypsophila,arabica,page 588 of document.pdf
317,genus,Gypsophila, libanotica,page 589 of document.pdf
318,genus,Gypsophila,aucheri,page 589 of document.pdf
319,genus,Gypsophila,pallida,page 589 of document.pdf
320,genus,Gypsophila,damascena,page 590 of document.pdf
321,genus,Gypsophila,ruscifolia,page 590 of document.pdf
322,genus,Gypsophila,linearifolia,page 590 of document.pdf
323,genus,Gypsophila,antari,page 590 of document.pdf
324,genus,Gypsophila, heteropoda,page 591 of document.pdf
325,genus,Gypsophila,viscosa,page 591 of document.pdf
326,genus,Gypsophila, frankenioides,page 592 of document.pdf
327,genus,Gypsophila,mollis,page 592 of document.pdf
328,genus,Gypsophila,polygonoides,page 592 of document.pdf
329,genus,Gypsophila, filicaulis,page 593 of document.pdf
330,genus,Gypsophila,pilosa,page 593 of document.pdf
331,genus,Ankyropetalum, gypsophiloides,page 594 of document.pdf
332,genus,Ankyropetalum,coelesyriacum,page 594 of document.pdf
333,genus,Ankyropetalum,arsusianum,page 594 of document.pdf
334,genus,Acanthophyllum,kurdicum,page 595 of document.pdf
335,genus,Kohlrauschia,velutina,page 595 of document.pdf
336,"TUNICA Boehm. — Plantes à tiges rigides, à feuilles courtes et fleurs petites.Calice turbiné ou tubuleux, à 5 dents, 5-15 nervures, rarement 30-35. 5 pétales àonglet allongé, à lame entière ou bifide sans couronne. Étamines 10. Capsuleoblongue, à colonne placentaire allongée. Graines scutiformes.",page 595 of document.pdf,,
337,genus,Tunica,syriaca,page 596 of document.pdf
338,genus,Tunica,pachygona,page 596 of document.pdf
339,genus,Tunica,arabica,page 596 of document.pdf
340,"VELEZIA L. — Herbes annuelles, dichotomes, rigides, à feuilles étroitementlinéaires. Calice très étroit, tubuleux, à 5 dents et 5 à 15 côtes. Pétales 5, à ongletallongé et lame courte, sans couronne, celle-ci remplacée par quelques poils. Éta-mines 10-15. Capsule sphérique.",page 596 of document.pdf,,
341,genus,Velezia,rigida,page 597 of document.pdf
342,genus,Velezia,fasciculata,page 597 of document.pdf
343,genus,Dianthus,judaicus,page 603 of document.pdf
344,genus,Dianthus, micranthus,page 603 of document.pdf
345,genus,Dianthus,pachypetalus,page 603 of document.pdf
346,genus,Dianthus, libanotis,page 604 of document.pdf
347,genus,Dianthus,crinitus,page 604 of document.pdf
348,genus,Dianthus, orientalis,page 604 of document.pdf
