,page,text,face
145,0," Cèdres (JL), Hadeth,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
146,0, Dimane,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
147,0,"à Hasroun (Bl), Jab. Kneissé","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
148,0, (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
149,0, Me.,"Font: 'Times-Roman' (serifed, proportional), size 9.88752, color #000000"
150,0," Dolines du Jab. Sannine (Mt), Ouadi Safsaf (P).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
151,0, Met.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
152,0,"Qabbélias,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.0641, color #000000"
153,0," Ouadi-el-'Arayech,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
154,0, Jdita (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.9954, color #000000"
155,0,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
156,0, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
157,0," Ghouta (Bl, Pb).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
158,0,"Aire géogr. — Europe, Asie septentrionale et moyenne, Polynésie, Amérique.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
159,0,Urtica fragilis,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
160,0," Thiébaut (Bulletin de la Société Botanique de France, 82,","Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
161,0,"1935, p. 4)","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
162,0, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
163,0," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
164,0, n. 4). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000"
165,0, %.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
166,0," Plante monoïque,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
167,0, suffrutescente,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
168,0," et ligneuse,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
