,0,1,2
1432,Feuilles habituellement stipulées. Sépales libres ou faiblement concrescents.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1433,Corolle le plus souvent absente.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1434,"PTERANTHUS Forsk. — Herbe annuelle, charnue, à feuilles opposées, fas-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1435,"ciculifères, ce qui les rend pseudo-verticillées. Cymes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1436, biflores,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
1437, portés par un pédon-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1438,"cule commun accrescent, large, oblong, aplati et tombant avec lui. Fleurs sessiles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1439,"latérales. Calice 4-partite à sépales oblongs-linéaires, prolongés par un appendice","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1440,vertical scarieux-marginé. 4 étamines. Pas de corolle.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1441,Pteranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",page 540 of document.pdf
1442, dichotomus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000",page 540 of document.pdf
1443, Forsk. —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1444, P. echinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1445, Desf.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1446, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",page 540 of document.pdf
