,page,text,face,h1,h2
65,450,"verte de poils urticants épars, quadrangulaire, rameuse, dressée. Feuilles ovales","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",288.9369812011719,303.6109924316406
66,450,"jusqu'à 12 cm. de long, cordées ou tronquées à la base, à marge profondément","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",300.4570007324219,315.1310119628906
67,450,"dentée par des dents à pointe aiguë, à poils urticants épars. Inflorescences ","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",311.97698974609375,326.6510009765625
68,450,pani-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",311.97698974609375,326.6510009765625
69,450,"culiformes, géminées à l'aisselle des feuilles supérieures, dressées, rameuses, lâches,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",323.4969787597656,338.1709899902344
70,450,"à fleurs groupées en petits glomérules, portant quelques poils urticants. Inflores-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",335.0169982910156,349.6910095214844
71,450,cence ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",346.5369873046875,361.21099853515625
72,450,"en glomérules solitaires ou géminés, brièvement ou longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",346.5369873046875,361.21099853515625
73,450," pédoncules,","Font: 'Times-Roman' (serifed, proportional), size 10.9571, color #000000",346.5369873046875,361.21099853515625
74,450,"3-5 mm. à l'anthèse, 10-12 mm. à maturité. Sépales verts, ovales, inégaux, densé-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",358.0570068359375,372.73101806640625
75,450,ment hérissés de poils urticants.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",369.5769958496094,384.2510070800781
76,450,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 9.9934, color #000000",385.75,399.0899963378906
77,450," mars-juin. Haies,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",385.75,399.0899963378906
78,450, décombres.,"Font: 'Times-Roman' (serifed, proportional), size 9.95952, color #000000",385.75,399.0899963378906
79,450,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",398.2300109863281,411.57000732421875
80,450, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",399.25,411.46002197265625
81,450, Saïda,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",398.2300109863281,411.57000732421875
82,450," (Gaill,","Font: 'Times-Roman' (serifed, proportional), size 9.95706, color #000000",398.2300109863281,411.57000732421875
83,450," Bl), Beyrouth (P, Mt), Tripoli (Bl).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",398.2300109863281,411.57000732421875
84,450, Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",399.25,411.46002197265625
85,450," Ba'abda (Mt), Broummana","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",398.2300109863281,411.57000732421875
86,450,(Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",408.07000732421875,421.4100036621094
87,450, Herm.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.90954, color #000000",409.0899963378906,421.3000183105469
88,450, Rachaya (Berton).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",408.07000732421875,421.4100036621094
89,450, St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",409.0899963378906,421.3000183105469
90,450, Qa'a (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",408.07000732421875,421.4100036621094
91,450,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
92,450, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",421.80999755859375,434.02001953125
93,450, Banias (P).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
94,450, Sy.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",421.80999755859375,434.02001953125
95,450," Alep (JL), 'Aïn","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
96,450, Delfi,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",420.7900085449219,434.1300048828125
97,450, (Gb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
98,450, Dam.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",421.80999755859375,434.02001953125
99,450, Jab.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
100,450, Qasyoun,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",420.7900085449219,434.1300048828125
101,450, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
102,450, Sud.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",421.80999755859375,434.02001953125
103,450, Fiq (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",420.7900085449219,434.1300048828125
104,450,St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",431.40997314453125,443.6199951171875
105,450," Khan Abou Chamate (Gb), Resafa (Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",430.3899841308594,443.72998046875
106,450,"Aire géogr. — Europe, Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",443.1100158691406,456.45001220703125
107,450,Urtica dioica,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",460.39599609375,475.6310119628906
108,450, L.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",460.2969970703125,474.97100830078125
109,450, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",460.2969970703125,474.97100830078125
110,450," CXXIII, n. 1). —","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",460.2969970703125,474.97100830078125
111,450, 2J..,"Font: 'Times-Roman' (serifed, proportional), size 10.9628, color #000000",460.2969970703125,474.97100830078125
112,450," Dioïque, ou parfois monoïque.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",460.2969970703125,474.97100830078125
113,450,"Rhizome court, rampant, plus ou moins ligneux. Tige dressée, d'un vert foncé,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",471.8169860839844,486.4909973144531
114,450,"ainsi que le feuillage, 15 cm. à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",483.33697509765625,498.010986328125
115,450, 1,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",483.33697509765625,498.010986328125
116,450, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",483.33697509765625,498.010986328125
117,450,"m., quadrangulaire, simple ou peu rameuse.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",483.33697509765625,498.010986328125
118,450,"Feuilles oblongues ou oblongues-lancéolées, 4-10 cm. de long, fortement dentées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",494.85699462890625,509.531005859375
119,450,"Dents ovales, aiguës, peu inégales. Inflorescences géminées à l'aisselle des feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",506.37701416015625,521.051025390625
120,450,"paniculiformes, à rameaux latéraux courts dans les inflorescences , plus longs dans","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",517.89697265625,532.5709838867188
121,450,les inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",529.4169921875,544.0910034179688
122,450,"ou androgynes, étalées-dressées ou pendantes, à fleurs fasciculées","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",529.4169921875,544.0910034179688
123,450,en fascicules serrés ou un peu distants. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",540.93701171875,555.6110229492188
124,450,"à 4 sépales égaux, pubescents, ovales,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",540.93701171875,555.6110229492188
125,450,obtus. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",552.4569702148438,567.1309814453125
126,450,"à 4 sépales inégaux, les internes ordinairement plus longs.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",552.4569702148438,567.1309814453125
127,450,La forme monoïque (var.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",568.1499633789062,581.489990234375
128,450, angustifolia,"Font: 'Times-Italic' (italic, serifed, proportional), size 10, color #000000",569.1699829101562,581.3800048828125
129,450, Schlecht.) est probablement étrangère à notre territoire.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",568.1499633789062,581.489990234375
130,450,"Floraison : avril à septembre. Décombres, surtout près de points d'eau. Dolines fréquentées par","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",581.1099853515625,594.4500122070312
131,450,les troupeaux. Manque ou,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",590.949951171875,604.2899780273438
132,450, rr.,"Font: 'Times-Roman' (serifed, proportional), size 10.0449, color #000000",590.949951171875,604.2899780273438
133,450, sur la côte et à faible altitude.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",590.949951171875,604.2899780273438
134,451,374 ,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",25.629974365234375,38.969974517822266
135,451,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",25.629974365234375,38.969974517822266
136,451,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",48.670013427734375,62.010013580322266
137,451, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",49.69001007080078,61.9000129699707
138,451, Tripoli,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",48.670013427734375,62.010013580322266
139,451, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000",48.670013427734375,62.010013580322266
140,451, Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",49.69001007080078,61.9000129699707
141,451, Broummana,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",48.670013427734375,62.010013580322266
142,451," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000",48.670013427734375,62.010013580322266
143,451, Faraya (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",48.670013427734375,62.010013580322266
144,451, Mm.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",49.69001007080078,61.9000129699707
145,451," Cèdres (JL), Hadeth,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",48.670013427734375,62.010013580322266
146,451, Dimane,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",48.670013427734375,62.010013580322266
147,451,"à Hasroun (Bl), Jab. Kneissé","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",58.029998779296875,71.3699951171875
148,451, (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.88752, color #000000",58.029998779296875,71.3699951171875
149,451, Me.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",59.04999542236328,71.25999450683594
150,451," Dolines du Jab. Sannine (Mt), Ouadi Safsaf (P).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",58.029998779296875,71.3699951171875
151,451, Met.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.0641, color #000000",59.04999542236328,71.25999450683594
152,451,"Qabbélias,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",67.38998413085938,80.72998046875
153,451," Ouadi-el-'Arayech,","Font: 'Times-Roman' (serifed, proportional), size 9.9954, color #000000",67.38998413085938,80.72998046875
154,451, Jdita (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",67.38998413085938,80.72998046875
155,451,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",80.35000610351562,93.69000244140625
156,451, Dam.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",81.37000274658203,93.58000183105469
157,451," Ghouta (Bl, Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",80.35000610351562,93.69000244140625
